"web_name","id","ques","web"
"Google Flights","Google Flights--0","Book a journey with return option on same day from Edinburg to Manchester on January 31st and show me the lowest price option available.","https://www.google.com/travel/flights/"
"Google Flights","Google Flights--1","Show me the list of one-way flights today (Jan 4, 2025) from Chicago to Paris.","https://www.google.com/travel/flights/"
"Google Flights","Google Flights--2","Find the lowest fare from all eligible one-way flights for 1 adult from JFK to Heathrow on Feb. 22.","https://www.google.com/travel/flights/"
"Google Flights","Google Flights--3","Search for the one-way flight available from Calgary to New York on Feb. 1st with the lowest carbon dioxide emissions.","https://www.google.com/travel/flights/"
"Google Flights","Google Flights--4","Search for one-way flights from New York to London on Jan. 26th and filter the results to show only non-stop flights.","https://www.google.com/travel/flights/"
"Google Flights","Google Flights--5","Find flights from Chicago to London on 20 January and return on 23 January.","https://www.google.com/travel/flights/"
"Google Flights","Google Flights--6","Search for a flight on January 19 and return on January 26 from Tel Aviv to Venice and Select First Class.","https://www.google.com/travel/flights/"
"Google Flights","Google Flights--7","Find a round trip from Phoenix to Miami (Jan. 25th - Jan. 28th), show the First Class plane tickets for me that do not exceed $1320.","https://www.google.com/travel/flights/"
"Google Flights","Google Flights--8","Search a one-way flight from Dublin To Athens Greece for 1 Adult that leaves on January 30 and analyze the price graph for the next 2 months.","https://www.google.com/travel/flights/"
"Google Flights","Google Flights--9","Find a one-way economy flight from Pune to New York in Feb. 15th and show me how long it will take for flight transfer.","https://www.google.com/travel/flights/"
"Google Flights","Google Flights--10","Locate the cheapest round-trip flights from New York to Tokyo leaving on February 25, 2025, and returning on March 15, 2025.","https://www.google.com/travel/flights/"
"Google Flights","Google Flights--11","Compare the prices for round-trip flights from New York to Tokyo for a departure on March 10, 2025, and a return on March 24, 2025, and select the option with the least number of stops.","https://www.google.com/travel/flights/"
"Google Flights","Google Flights--12","Find the best-priced round-trip flight from New York to London leaving on Jan 25, 2025, and returning on Feb 5, 2025, with one stop or fewer.","https://www.google.com/travel/flights/"
"Google Flights","Google Flights--13","Find the cheapest round-trip flight option from New York City to Tokyo for a departure on February 10, 2025, and a return on February 24, 2025.","https://www.google.com/travel/flights/"
"Google Flights","Google Flights--14","Compare flight options and find the lowest round trip fare from New York to London departing on February 10, 2025, and returning on February 17, 2025.","https://www.google.com/travel/flights/"
"Google Flights","Google Flights--15","Compare the prices and total duration of non-stop flights from New York to Tokyo Narita Airport departing on March 12th, 2025, and returning on March 26th, 2025.","https://www.google.com/travel/flights/"
